abbrev_source_title,abstract,address,affiliation,affiliations,art_number,author,author_keywords,chemicals_cas,coden,correspondence_address,correspondence_address1,document_type,doi,editor,funding_details,funding_text 1,funding_text 2,funding_text 3,isbn,issn,journal,keywords,language,note,number,page_count,pages,pmid,publication_stage,publisher,pubmed_id,references,source,sponsors,title,tradenames,url,volume,year,affiliation_,author_email,booktitle,da,doc_delivery_number,earlyaccessdate,eissn,funding_acknowledgement,funding_text,meeting,month,note_,number_of_cited_references,oa,orcid_numbers,organization,research_areas,researcherid_numbers,series,unique_id,usage_count_last_180_days,usage_count_since_2013,web_of_science_categories,web_of_science_index
Encyclopedia of Africa: Volume 11: (11 Volume Set),"In many developing countries in Sub-Saharan Africa, women in rural areas contribute significantly to the labor force. They are actively engaged in agricultural activities and thus are exposed to climate change impacts. Despite the abundent litterature on climate change, little is known about the participation of rural women in the adaptation decision-making process. Drawing on this research gap, the major attempt of this paper is to analyze women participation in climate change adaptation decisionmaking at the household-level. The study was conducted in the municipal areas of Bembéréké and Banikoara in North Benin. Primary data were collected by using a survey method on 120 households randomly selected. In each household, the husband and his wife were interviewed separately. By using a composite index of participation, the results showed that the level of women participation was quite low when it comes to identify problems, formulate alternatives and plan activities, allocate resources and participate in the evaluation of activities and outcomes for feedback purposes. However, women were more involved in the implementation of farming activities and, as well, took advantages of the economic, social, political or other benefits emanating from these activities. Furthermore, the analysis of the socio-economic drivers of women participation highlighted that women and men access to education, women experience in agriculture, women contact with extension services and women land ownership are positively correlated with her participation in household climate change decision-making process. This suggests that research institutes and policy makers could carry out actions or programs aiming at enhancing women access to education, extension services, and production resources. © 2020 by Nova Science Publishers, Inc.",UNKNOW,"Bureau de Recherche et de Développement en Agriculture, BreDA ONG, Benin; Laboratoire d’Analyse et de Recherches sur les Dynamiques Economiques et Sociales (LARDES), Université de Parakou, Benin","Bureau de Recherche et de Développement en Agriculture, BreDA ONG, Benin; Laboratoire d’Analyse et de Recherches sur les Dynamiques Economiques et Sociales (LARDES), Université de Parakou, Benin",UNKNOW,"Aloukoutou, Aline M. and Yegbemey, Rosaine N. and Aïhounton, Ghislain D. B.",adaptation; climate change; decision-making; household level; women participation,UNKNOW,UNKNOW,"A.M. Aloukoutou; Bureau de Recherche et de Développement en Agriculture, BreDA ONG, Benin; email: alma_aline@yahoo.com",UNKNOW,Book chapter,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-153617235-5; 978-153617234-8,UNKNOW,Encyclopedia of Africa: Volume 11: (11 Volume Set),UNKNOW,English,Cited by: 0,UNKNOW,UNKNOW,1071 – 1083,UNKNOW,Final,"Nova Science Publishers, Inc.",UNKNOW,UNKNOW,Scopus,UNKNOW,TOWARDS INCLUSIVE DECISION-MAKING FOR CLIMATE CHANGE ADAPTATION: A HOUSEHOLDLEVEL ANALYSIS IN NORTH BENIN (WEST AFRICA),UNKNOW,https://www.scopus.com/inward/record.uri?eid,1-11,2020,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
African Handb. of Climate Change Adaptation: With 610 Figures and 361 Tables,"Female- and male-headed rural households have unequal opportunities in climate change adaptation. Efforts in climate change adaptation in regions with deeply entrenched sociocultural norms should also account for the varied gender components of climate change. The broad objective of this study is to integrate gender issues into climate change adaptation thereby distilling lessons and evidence for policymakers on how to approach the necessary transformation of gender relations in climate change interventions. The study employed focus group discussions to uncover the structural factors undermining women’s adaptive capacity, thereby making them vulnerable to climate change impacts. In addition to this, in-depth interviews were also conducted. For the in-depth interviews, 27 farmers were sampled using a snowballing method, while four focus groups were carried out differently for male and female farmers. Ten extension personnel and ten representations from the ministry of agriculture were also surveyed using in-depth interviews. Results from the study showed that female farmers in the region were more vulnerable to climate change as a result of the deeply rooted cultural systems and unwarranted assumptions about women. Findings also suggested that women with high adaptive capacity were less vulnerable to climate impacts. We conclude that gender-responsive climate change adaptation is important in achieving balanced relations that will ensure climate resilience in more equitable and nonhierarchical ways. © The Editor(s) (if applicable) and The Author(s) 2021.",UNKNOW,"Agricultural and Environmental Policy Department, Justus Liebig University Giessen, Giessen, Germany; Department of Agricultural Economics, University of Nigeria, Nsukka, Nigeria; Resource and Environmental Policy Research Centre, Department of Agricultural Economics, University of Nigeria, Nsukka, Nigeria","Agricultural and Environmental Policy Department, Justus Liebig University Giessen, Giessen, Germany; Department of Agricultural Economics, University of Nigeria, Nsukka, Nigeria; Resource and Environmental Policy Research Centre, Department of Agricultural Economics, University of Nigeria, Nsukka, Nigeria",UNKNOW,"Ume, Chukwuma Otum and Opata, Patience Ifeyinwa and Onyekuru, Anthony Nwa Jesus",Gender mainstreaming; Nigeria; Qualitative methods; Socioeconomic status; Stereotypes; Vulnerability,UNKNOW,UNKNOW,"C.O. Ume; Agricultural and Environmental Policy Department, Justus Liebig University Giessen, Giessen, Germany; email: chukwuma.ume@agrar.uni-giessen.de",UNKNOW,Book chapter,10.1007/978-3-030-45106-6_182,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-303045106-6; 978-303045105-9,UNKNOW,African Handbook of Climate Change Adaptation: With 610 Figures and 361 Tables,UNKNOW,English,"Cited by: 3; All Open Access, Hybrid Gold Open Access",UNKNOW,UNKNOW,2099 – 2315,UNKNOW,Final,Springer International Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender and Climate Change Adaptation Among Rural Households in Nigeria,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2021,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Afr. Geogr. Rev.,"This paper discusses the gender dimensions of climate change adaptation strategies among small holder crop farmers in the transition zone of Ghana. A total of 612 farmers (328 females and 284 males) were interviewed using purposive sampling technique. Our results indicate that adaptation strategies are gendered with men mostly resorting to on-farm agronomic practices such as the use of artificial fertilizers and also moving into new cash crops. Female farmers also use similar on-farm agronomic practices particularly artificial fertilizers to boost crop production but most importantly resorted to petty trading in agricultural and consumable goods, an off-farm strategy. This shows women’s resilience which has also subsequently improved their decision-making role at the household level, which is an indicator of empowerment. We recommend that institutions that support climate change adaptation initiatives at the local level must take gender differences into consideration and support particularly women to strengthen their resilience and consolidate their empowerment. © 2017, © 2017 The African Specialty Group of the American Association of Geographers.",UNKNOW,"Department of Geography and Resource Development, University of Ghana, Legon, Ghana; Department of Agricultural Economics and Agribusiness, University of Ghana, Legon, Ghana; African Development Bank, Immeuble du Centre de commerce International d’Abidjan, Abidjan, Cote d'Ivoire","Department of Geography and Resource Development, University of Ghana, Legon, Ghana; Department of Agricultural Economics and Agribusiness, University of Ghana, Legon, Ghana; African Development Bank, Immeuble du Centre de commerce International d’Abidjan, Abidjan, Cote d'Ivoire",UNKNOW,"Wrigley-Asante, Charlotte and Owusu, Kwadwo and Egyir, Irene S. and Owiyo, Tom Mboya",adaptation; climate change; Gender; Ghana; men; women,UNKNOW,UNKNOW,"C. Wrigley-Asante; Department of Geography and Resource Development, University of Ghana, Legon, P.O. Box LG 59, Ghana; email: cwrigley-asante@ug.edu.gh",UNKNOW,Article,10.1080/19376812.2017.1340168,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,19376812,African Geographical Review,UNKNOW,English,Cited by: 43,2,UNKNOW,126 – 139,UNKNOW,Final,Routledge,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender dimensions of climate change adaptation practices: the experiences of smallholder crop farmers in the transition zone of Ghana,UNKNOW,https://www.scopus.com/inward/record.uri?eid,38,2019,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
IOP Conf. Ser. Earth Environ. Sci.,"Women are the largest proportion of the world's poor, including children and young women. Women are very vulnerable to climate change. But until now gender considerations are still not explicitly stated in various climate change policies. In the marine and fisheries sector, extreme climate change makes many fishermen unable to go to sea and fish declines. The unequal division of gender roles causes the level of vulnerability to climate change to differ between women and men. This study aims to analyze the vulnerability and gender roles of fishing communities due to climate change in West Sumatra. A positivistic-deductive research approach. Indicators / parameters used by the index to measure vulnerability in 2 coastal areas, namely Bungus Beach and Pariaman Beach. Secondary data obtained from the Geophysical Meteorology Agency station. Primary data through interviews with questionnaire tools on 60 respondents. The vulnerability model (V) is a function of exposure (E), sensitivity (S), and adaptive capacity (AC), which are then expressed mathematically. The results showed a vulnerability index of 305 with a vulnerable classification. Efforts to increase adaptive capacity and reduce women's vulnerability to climate change through a comfortable place to live, better access to climate change information and livelihood options. Gender-based climate change adaptation models for coastal areas are increasing women's political role, increasing women's skills capacity through field schools Climate and enhancement productive work. © 2019 Published under licence by IOP Publishing Ltd.",UNKNOW,"Health Polytechnic Ministry of Padang, Siteba Street, Padang-West Sumatera, 25146, Indonesia","Health Polytechnic Ministry of Padang, Siteba Street, Padang-West Sumatera, 25146, Indonesia",UNKNOW,"Riviwanto, M. and Basuki, A.",UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Conference paper,10.1088/1755-1315/314/1/012086,"Putra R.R. and Universitas Negeri Padang, Faculty of Engineering, Department of Civil Engineering, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Yohandri null and Universitas Negeri Padang, Faculty of Mathematics and Natural Sciences, Department of Physics, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Diliarosta S. and Universitas Negeri Padang, Department of Environmental Science, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Carlo N. and Universitas Bung Hatta, Faculty of Civil Engineering and Planning, Jl. Sumatera Ulakkarang, Padang and Hermon D. and Universitas Negeri Padang, Department of Environmental Science, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Razak A. and Universitas Negeri Padang, Department of Environmental Science, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Alizar null and Universitas Negeri Padang, Kampus FMIPA UNP, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Umar I. and Universitas Negeri Padang, Faculty of Social Science, Department of Geography, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Antomi Y. and Universitas Negeri Padang, Faculty of Social Science, Department of Geography, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Fatimah S. and Universitas Negeri Padang, Department of Environmental Science, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Heldi null and Universitas Negeri Padang, Department of Environmental Science, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Ramli null and Universitas Negeri Padang, Faculty of Mathematics and Natural Sciences, Department of Physics, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Erianjoni null and Universitas Negeri Padang, Faculty of Social Science, Department of Sociology, Jl. Prof. Dr. Hamka, Air Tawar, Padang and Hamdi null and Universitas Negeri Padang, Faculty of Mathematics and Natural Sciences, Department of Physics, Jl. Prof. Dr. Hamka, Air Tawar, Padang",UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,17551307,IOP Conference Series: Earth and Environmental Science,Beaches; Climate models; Coastal zones; Environmental engineering; Fisheries; Surveys; Adaptive capacity; Climate change adaptation; Climate change policies; Extreme climates; Fisheries sector; Research approach; Vulnerability index; Vulnerability models; Climate change,English,"Cited by: 1; Conference name: 1st International Conference on Environmental Sciences, ICES 2018; Conference date: 15 November 2018 through 16 November 2018; Conference code: 150984; All Open Access, Gold Open Access",1,UNKNOW,UNKNOW,UNKNOW,Final,Institute of Physics Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,The role of gender as a model of climate change adaptation in fisherman settlement communities,UNKNOW,https://www.scopus.com/inward/record.uri?eid,314,2019,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Environmental Resil. and Transformation in times of COVID-19: Climate Change Effects on Environmental Functionality,"Climate change is an existential challenge and its impacts are projected to increase in coming times. Adaptation becomes even more imperative more climate vulnerable developing countries. Literature establishes that climate change impacts women differently due to socio-economic factors such as rights, cultural norms, etc. and other intersectional demographic characteristics such as age and location. The COVID-19 pandemic has also differentially impacted women and girls. In the context of climate change, this chapter reviews, analyses and documents gender disproportional impacts due to climate change and how it has exacerbated in times of COVID-19 pandemic. This chapter presents the state of art of gender considerations in international climate agenda, and India’s national policies, projects and local initiatives. Using the primary information from four states of Tamil Nadu, Telangana, Himachal Pradesh, and Punjab who are implementing gender concerns in climate change, this work provides useful approaches and insights into climate change planning through real case examples. While highlighting the importance of three-step approach to gender differentiated risk assessment, gender analysis and gender strategy, it discusses of implementing such approaches into capacity development for implementation of climate adaptation activities and in revision of current states’ action plans on climate change, which gains greater focus for any long term recovery that takes sustainability concerns into account. © 2021 Elsevier Inc.",UNKNOW,"Environment, Climate Change and Natural Resource Management Programme, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, New Delhi, India; Department of Geography and Resource Management, The Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong","Environment, Climate Change and Natural Resource Management Programme, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, New Delhi, India; Department of Geography and Resource Management, The Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong",UNKNOW,"Rattani, Vijeta and Bhatt, Somya and Singh, Deepak",Adaptation; Climate change; Climate policy; Gender analysis; Gender mainstreaming; SAPCC; Vulnerability assessment,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,10.1016/B978-0-323-85512-9.00026-7,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-032385512-9,UNKNOW,Environmental Resilience and Transformation in times of COVID-19: Climate Change Effects on Environmental Functionality,UNKNOW,English,Cited by: 1,UNKNOW,UNKNOW,311 – 322,UNKNOW,Final,Elsevier,UNKNOW,UNKNOW,Scopus,UNKNOW,"Climate change, adaptation and gender concernsApproaches and learnings from global and Indian experiences",UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2021,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
"Clim. Hazards, Disasters, and Gend. Ramif.",UNKNOW,UNKNOW,"University of Copenhagen, Copenhagen Centre for Disaster Research (COPE), Denmark","University of Copenhagen, Copenhagen Centre for Disaster Research (COPE), Denmark",UNKNOW,"Raju, Emmanuel",UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-042942486-1; 978-113835436-4,UNKNOW,"Climate Hazards, Disasters, and Gender Ramifications",UNKNOW,English,Cited by: 2,UNKNOW,UNKNOW,122 – 137,UNKNOW,Final,Taylor and Francis Inc.,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender as fundamental to climate change adaptation and disaster risk reduction: Experiences from South Asia,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2019,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
"Climate Adaptation for a Sustainable Economy: Lessons from Bangladesh, an Emerging Tiger of Asia","Climate induced disasters affect a wide range of communities in Bangladesh. Among the affected, women are particularly vulnerable. Climate change is increasing women’s socio-economic vulnerabilities by directly impacting on their families’ food security, water supply and consumption and traditional livelihoods. Hence, women have had to develop a wide range of coping strategies in order to deal with these changes. This paper explores women’s narratives from both personal and community level experiences, providing a deeper insight into how and why women build resiliency at a household level, and how this resilience transfers to the community level. The study was conducted in four selected districts of Bangladesh focusing on four types of climate-induced disasters as a part of the first author’s PhD research. Data and information were collected through FGDs, KIIs and IDDs with women and participant observation in their homes and communities. A systematic coding and thematic analysis were adopted during data analysis. This paper particularly focused on five women’s personal narratives and the findings indicate that women are not simply “victims” of climate change, rather their lived experiences and daily life-practices make critical contributions to their households and communities when adapting to these changes. Women’s roles as individuals or collectively reveal their necessary and valuable contribution. © 2020 Nova Science Publishers, Inc. All rights reserved.",UNKNOW,"Department of Sociology, East West University, Dhaka, Bangladesh; Griffith Health Schools, Griffith University, Brisbane, QLD, Australia","Department of Sociology, East West University, Dhaka, Bangladesh; Griffith Health Schools, Griffith University, Brisbane, QLD, Australia",UNKNOW,"Tanjeela, M. and Rutherford, S.",Bangladesh; Climate change; Community; Household; Resilience; Women,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book chapter,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-153616928-7; 978-153616927-0,UNKNOW,"Climate Adaptation for a Sustainable Economy: Lessons from Bangladesh, an Emerging Tiger of Asia",UNKNOW,English,Cited by: 1,UNKNOW,UNKNOW,101 – 128,UNKNOW,Final,"Nova Science Publishers, Inc.",UNKNOW,UNKNOW,Scopus,UNKNOW,How women develop resiliency in climate vulnerable situations: Experiences of women across four regions of Bangladesh,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2020,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Exploring Synergies and Trade-offs Between Climate Change and the Sustainable Development Goals,"The existential environmental crisis prompted the United Nations to formulate the Millennium Development Goals at the turn of the 21st century in order to embark on an era of sustainable development. The progress and deficiencies in achieving the Millennium Development Goals provided impetus to the intelligentsia and policymakers to map out the pertinent goals for a sustainable growth trajectory for humanity and the planet. The United Nations’ 2030 Agenda for Sustainable Development, which was adopted in September 2015, took the shape of 17 Sustainable Development Goals (SDGs) and 169 targets. In effect, the 17 Sustainable Development Goals focus on protecting the earth's life support systems for intra- and inter-generational equity and for development that is rooted in sustainability science. Attaining these goals is an uphill task; nevertheless, scientific knowledge, trans and interdisciplinary inquiries, concerted global action and capacity building would provide an enabling environment for achieving the SDGs. This book explores the synergies and trade-offs between climate change management and other SDGs. It highlights the policy imperatives as well as the interrelations between combating climate change and its impacts (SDG 13) and food and nutritional security (SDG 2), water security (SDG 6), soil security (SDG 15), energy security (SDG 7), poverty eradication (SDG 1), gender equality (SDG 5), resilient infrastructure (SDG 9), and sustainable and resilient cities (SDG 11).",UNKNOW,"School of Interdisciplinary and Transdisciplinary, Studies, Indira Gandhi National Open University, New Delhi, India; School of Interdisciplinary and Transdisciplinary Studies, IGNOU, New Delhi, India; Department of Botany, School of Life Sciences, Mahatma Gandhi Central University, Motihari, India","School of Interdisciplinary and Transdisciplinary, Studies, Indira Gandhi National Open University, New Delhi, India; School of Interdisciplinary and Transdisciplinary Studies, IGNOU, New Delhi, India; Department of Botany, School of Life Sciences, Mahatma Gandhi Central University, Motihari, India",UNKNOW,"Venkatramanan, V. and Shah, Shachi and Prasad, Ram",climate change; Climate Resilience; Climate Smart Agriculture; Gender Equality; Global Climate Change; Global food policy; Smart Cities,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book,10.1007/978-981-15-7301-9,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-981157301-9; 978-981157300-2,UNKNOW,Exploring Synergies and Trade-offs Between Climate Change and the Sustainable Development Goals,UNKNOW,English,"Cited by: 8; All Open Access, Green Open Access",UNKNOW,UNKNOW,1 – 402,UNKNOW,Final,Springer Singapore,UNKNOW,UNKNOW,Scopus,UNKNOW,Exploring Synergies and Trade-offs Between Climate Change and the Sustainable Development Goals,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2020,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Clim. Dev.,"Climate change is likely to bring more, hotter and longer lasting heat waves in central Europe over the coming decades. Particularly, vulnerable groups are hit harder by heat waves. A gender-sensitive perspective has not been taken into account sufficiently in scientific studies on climate change and health. This study examined the health impact of extreme heat events from a gender-sensitive perspective and measured gender-specific individual behavioural adaptation and mitigation strategies. A cross-sectional population survey was done in Leipzig, Germany, from July to October 2014. The survey was used to determine the relationship between the influencing factors such as gender, adaptive and mitigation measures and the health burden resulting from extreme heat waves. Gender-specific differences were found for type of income, personal net income and individuals who are strongly affected by persistent heat. A significant gender difference was also found for headaches, cardiovascular diseases, different climate adaptation measures and types of mitigating behaviour. These findings confirm other study results and indicate the need for further studies on gender and diversity aspects which take into account sociodemographic, socioeconomic and climate ecological differences. Taking the public health approach, surveys for adaptation and mitigation measures are needed which explicitly consider gender and target groups’ aspects. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",UNKNOW,"School of Public Health, Bielefeld University, Bielefeld, Germany; Amt für Statistik und Wahlen, Leipzig, Germany","School of Public Health, Bielefeld University, Bielefeld, Germany; Amt für Statistik und Wahlen, Leipzig, Germany",UNKNOW,"McCall, Timothy and Beckmann, Sarah and Kawe, Christiane and Abel, Falk and Hornberg, Claudia",adaptation; climate change; Gender; heat wave; public health,UNKNOW,UNKNOW,"T. McCall; Faculty of Health Sciences, Bielefeld University, Universitätsstraße 25, Bielefeld, 33615, Germany; email: timothy.mc_call@uni-bielefeld.de",UNKNOW,Article,10.1080/17565529.2018.1529551,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,17565529,Climate and Development,Germany; Leipzig; Saxony; adaptive management; climate change; extreme event; gender; health impact; heat wave; public health,English,Cited by: 11,9,UNKNOW,735 – 744,UNKNOW,Final,Taylor and Francis Ltd.,UNKNOW,UNKNOW,Scopus,UNKNOW,Climate change adaptation and mitigation–a hitherto neglected gender-sensitive public health perspective,UNKNOW,https://www.scopus.com/inward/record.uri?eid,11,2019,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
"Handb. of Climate Change Management: Research, Leadersh., Transformation","About 240 million people in the Hindu Kush Himalaya region and 1.65 billion people in the downstream depend on ecosystem services from the mountains. The region is experiencing “double exposure” due to its rapidly changing socioeconomic conditions and the disproportionate impacts of climate change resulting from amplified elevation-dependent warming. Therefore, understanding the extent of impacts and finding solutions to build resilience requires not only a comprehensive research but also a shift in policy to implement and scale resilience building solutions to cope with, adapt to, and catalyze a transformative change. In this context, Resilient Mountain Village approach was piloted in eight villages of mid-hills in Nepal. The results were assessed against six attributes of scalability, considering credibility, observability, relevance, relative advantage, easy transferability, and compatibility. The impacts of various context-specific, simple, and affordable solutions, such asjholmal (bio-fertilizer and biopesticide), rain- and wastewater collection tanks, weather and crop advisories, etc., were also assessed to understand the change and adoption. As a result of a systematic bottom-up engagement process, a very high degree of adoption by communities and out-scaling/upscaling by governments and other projects was observed beyond the pilot area. Based on the experiences, a Resilient Mountain Solutions framework was developed focusing on three dimensions of resilience – climate resilience, socioeconomic resilience, and future resilience. This framework offers an integrated modular approach for smallholder farmers by providing package of solutions that can be customized to the local context and build resilience of the socio-ecological systems through integration into government’s adaptation program. © Springer Nature Switzerland AG 2021. All rights are reserved.",UNKNOW,"International Centre for Integrated Mountain Development (ICIMOD), Kathmandu, Nepal; Centre for Development and the Environment, University of Oslo, Oslo, Norway; Agriculture and Forestry University, Rampur, Nepal; Center for Environmental and Agricultural Policy, Extension and Development, Kathmandu, Research, Nepal","International Centre for Integrated Mountain Development (ICIMOD), Kathmandu, Nepal; Centre for Development and the Environment, University of Oslo, Oslo, Norway; Agriculture and Forestry University, Rampur, Nepal; Center for Environmental and Agricultural Policy, Extension and Development, Kathmandu, Research, Nepal",UNKNOW,"Agrawal, Nand Kishor and Udas, Erica and Leikanger, Iris and Bhatta, Laxmi Dutt and Sharma, Eklabya and Joshi, Keshab Datta",Adaptation; Agriculture; Climate change; Gender; Hindu Kush Himalaya; Resilience,UNKNOW,UNKNOW,"N.K. Agrawal; International Centre for Integrated Mountain Development (ICIMOD), Kathmandu, Nepal; email: nandkishor.agrawal@icimod.org",UNKNOW,Book chapter,10.1007/978-3-030-57281-5_156,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-303057281-5; 978-303057280-8,UNKNOW,"Handbook of Climate Change Management: Research, Leadership, Transformation",UNKNOW,English,Cited by: 1,UNKNOW,UNKNOW,3165 – 3183,UNKNOW,Final,Springer International Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,Resilience Building Solutions for Mountain Smallholders: Catalyzing Transformations with an Integrated Modular Approach in the Hindu Kush Himalaya,UNKNOW,https://www.scopus.com/inward/record.uri?eid,4,2021,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
